DPTO,MPIO,CODIGO_DE_LA_ARL,AÑO_DE_INFORME,MES_DE_INFORME,ACTIVEC,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL
MAGDALENA,ZONA BANANERA,1423,2024,05,1889001,3,0,0,0,0,0,0,0
CORDOBA,SAN PELAYO,1423,2024,05,1855101,5,0,0,0,0,0,0,0
HUILA,PITAL,1423,2024,05,2012301,0,0,0,0,0,0,0,0
LA GUAJIRA,ALBANIA,1423,2024,05,1649903,2,0,0,0,0,0,0,0
N. DE SANTANDER,PAMPLONA,1423,2024,05,1469001,0,0,0,0,0,0,0,0
SUCRE,SINCELEJO,1423,2024,05,1854101,0,1,0,0,0,0,0,0
ANTIOQUIA,RIONEGRO,1423,2024,05,1960201,3,0,0,0,0,0,0,0
VALLE DEL CAUCA,CALI,1423,2024,05,3282901,1,0,0,0,0,0,0,0
SUCRE,SAMPUES,1423,2024,05,1841101,1,0,0,0,0,0,0,0
CUNDINAMARCA,TOCAIMA,1423,2024,05,2016102,13,0,0,0,0,0,0,0
CORDOBA,MONTERIA,1423,2024,05,1466101,0,0,0,0,0,0,0,0
CUNDINAMARCA,GUASCA,1423,2024,05,2960902,4,0,0,0,0,0,0,0
CASANARE,TAURAMENA,1423,2024,05,2202901,1,0,0,0,0,0,0,0
CALDAS,MANIZALES,1423,2024,05,4331201,0,0,0,0,0,0,0,0
LA GUAJIRA,FONSECA,1423,2024,05,1477402,1,0,0,0,0,0,0,0
ARAUCA,ARAUCA,1423,2024,05,1661501,1,0,0,0,0,0,0,0
BOYACA,JENESANO,1423,2024,05,1949901,0,0,0,0,0,0,0,0
META,VILLAVICENCIO,1423,2024,05,3782001,0,0,0,0,0,0,0,0
CASANARE,AGUAZUL,1423,2024,05,3381101,2,0,0,0,0,0,0,0
NARIÑO,MOSQUERA,1423,2024,05,1941201,0,0,0,0,0,0,0,0
SANTANDER,BUCARAMANGA,1423,2024,05,3473101,53,2,0,0,0,0,0,0
LA GUAJIRA,FONSECA,1423,2024,05,3108101,0,0,0,0,0,0,0,0
BOYACA,GARAGOA,1423,2024,05,2862102,0,0,0,0,0,0,0,0
SANTANDER,GUADALUPE,1423,2024,05,1475201,0,1,0,0,0,0,0,0
TOLIMA,IBAGUE,1423,2024,05,4812901,107,1,0,0,0,0,0,0
CUNDINAMARCA,ARBELAEZ,1423,2024,05,2472301,0,0,0,0,0,0,0,0
ANTIOQUIA,CHIGORODO,1423,2024,05,1823001,36,1,0,0,0,0,0,0
ARAUCA,ARAUCA,1423,2024,05,1856001,0,0,0,0,0,0,0,0
SAN ANDRES,SAN ANDRES,1423,2024,05,4432101,2,0,0,0,0,0,0,0
CESAR,AGUACHICA,1423,2024,05,1791101,1,0,0,0,0,0,0,0
CUNDINAMARCA,SOPO,1423,2024,05,5960901,0,0,0,0,0,0,0,0
NARIÑO,BARBACOAS,1423,2024,05,2551101,2,0,0,0,0,0,0,0
TOLIMA,IBAGUE,1423,2024,05,3239901,3,2,0,0,0,0,0,0
CESAR,SAN MARTIN,1423,2024,05,2741001,0,0,0,0,0,0,0,0
ANTIOQUIA,SABANETA,1423,2024,05,5411101,29,0,0,0,0,0,0,0
VALLE DEL CAUCA,GUACARI,1423,2024,05,1469001,0,0,0,0,0,0,0,0
N. DE SANTANDER,CUCUTA,1423,2024,05,2011201,9,0,0,0,0,0,0,0
BOLIVAR,MARIA LA BAJA,1423,2024,05,1841101,0,0,0,0,0,0,0,0
VALLE DEL CAUCA,TULUA,1423,2024,05,2012701,39,1,0,0,0,0,0,0
MAGDALENA,EL PIÑON,1423,2024,05,1691001,1,0,0,0,0,0,0,0
VALLE DEL CAUCA,YOTOCO,1423,2024,05,3292001,0,0,0,0,0,0,0,0
ANTIOQUIA,ITAGUI,1423,2024,05,3522401,160,0,0,0,0,0,0,0
SANTANDER,BUCARAMANGA,1423,2024,05,5239401,6,0,0,0,0,0,0,0
VALLE DEL CAUCA,RESTREPO,1423,2024,05,1561301,3,0,0,0,0,0,0,0
ANTIOQUIA,MEDELLIN,1423,2024,05,2012701,732,1,0,0,0,0,0,0
CESAR,AGUACHICA,1423,2024,05,3360001,4,0,0,0,0,0,0,0
MAGDALENA,CIENAGA,1423,2024,05,1661301,0,0,0,0,0,0,0,0
RISARALDA,DOSQUEBRADAS,1423,2024,05,3012501,0,0,0,0,0,0,0,0
ANTIOQUIA,EL CARMEN DE VIBORAL,1423,2024,05,3311001,1,0,0,0,0,0,0,0
CUNDINAMARCA,TENA,1423,2024,05,5439004,0,0,0,0,0,0,0,0
SANTANDER,RIONEGRO,1423,2024,05,1711001,0,0,0,0,0,0,0,0
ANTIOQUIA,YARUMAL,1423,2024,05,1881001,0,0,0,0,0,0,0,0
ARAUCA,ARAUCA,1423,2024,05,2016102,5,5,0,0,0,0,0,0
CUNDINAMARCA,TENA,1423,2024,05,1852301,0,0,0,0,0,0,0,0
RISARALDA,SANTA ROSA DE CABAL,1423,2024,05,3942001,1,0,0,0,0,0,0,0
SANTANDER,BUCARAMANGA,1423,2024,05,3251101,68,0,0,0,0,0,0,0
